phase,run_file,semantic_weight,attribute_weight,bm25_bonus_max,n_queries,mean_ndcg_at_10,mean_avg_at_10,mean_strict_at_10
PhaseC,C1_s5a5_b000_sameparse.json,0.5,0.5,0.0,24,0.68177174963735,2.2416666666666667,4.958333333333333
PhaseC,C2_s6a4_b000_sameparse.json,0.6,0.4,0.0,24,0.6806972153878083,2.2375,4.875
PhaseA,A_bonus000_sameparse.json,0.3,0.7,0.0,24,0.6665260758548414,2.1958333333333333,4.833333333333333
PhaseC,C3_s6a4_b005_sameparse.json,0.6,0.4,0.05,24,0.6654062092266375,2.183333333333333,4.791666666666667
PhaseB,B_s6a4_sameparse.json,0.6,0.4,0.15,24,0.6457289409548196,2.1083333333333334,4.583333333333333
PhaseA,A_bonus005_sameparse.json,0.3,0.7,0.05,24,0.6409870466987557,2.1166666666666667,4.541666666666667
PhaseB,B_s5a5_sameparse.json,0.5,0.5,0.15,24,0.6393209101381339,2.095833333333333,4.458333333333333
PhaseB,B_s4a6_sameparse.json,0.4,0.6,0.15,24,0.6266342768593599,2.0625,4.333333333333333
PhaseA,A_bonus010_sameparse.json,0.3,0.7,0.1,24,0.6253525954746966,2.0541666666666667,4.333333333333333
PhaseA,A_bonus020_sameparse.json,0.3,0.7,0.2,24,0.6216909817467111,2.0375,4.333333333333333
PhaseA,A_bonus030_sameparse.json,0.3,0.7,0.3,24,0.6215539748690025,2.0416666666666665,4.333333333333333
PhaseA,A_bonus015_sameparse.json,0.3,0.7,0.15,24,0.6209976748506251,2.0375,4.291666666666667
PhaseB,B_s2a8_sameparse.json,0.2,0.8,0.15,24,0.6194105012503377,2.05,4.375
PhaseA,A_bonus050_sameparse.json,0.3,0.7,0.5,24,0.6179731773058545,2.033333333333333,4.291666666666667
