name,fusion_mode,bonus_max,description,n_queries,mean_ndcg_at_10,mean_avg_at_10,mean_strict_at_10
log_a0005,log_dampened,0.005,Log-dampened: base + 0.005 × log(1 + metric),24,0.7135065783182339,2.3333333333333335,5.166666666666667
log_a002,log_dampened,0.02,Log-dampened: base + 0.02 × log(1 + metric),24,0.7130661644280423,2.3375,5.208333333333333
add_a002,additive,0.02,Additive: base + 0.02 × metric,24,0.7121686285430718,2.3291666666666666,5.208333333333333
add_a0005,additive,0.005,Additive: base + 0.005 × metric,24,0.7116282029313852,2.3291666666666666,5.125
tie_e0005,tiebreaker,0.005,Tie-breaker: base + 0.005 × metric,24,0.7116282029313852,2.3291666666666666,5.125
mult_a002,multiplicative,0.02,Multiplicative: base × (1 + 0.02 × metric),24,0.711428083860315,2.3291666666666666,5.166666666666667
log_a005,log_dampened,0.05,Log-dampened: base + 0.05 × log(1 + metric),24,0.7106757083487495,2.3166666666666664,5.208333333333333
mult_a005,multiplicative,0.05,Multiplicative: base × (1 + 0.05 × metric),24,0.7106522917167238,2.325,5.208333333333333
tie_e0002,tiebreaker,0.002,Tie-breaker: base + 0.002 × metric,24,0.7100306824474597,2.325,5.083333333333333
tie_e0001,tiebreaker,0.001,Tie-breaker: base + 0.001 × metric,24,0.709097644955909,2.3166666666666664,5.083333333333333
tie_e00005,tiebreaker,0.0005,Tie-breaker: base + 0.0005 × metric,24,0.708886739114063,2.3166666666666664,5.083333333333333
mult_a001,multiplicative,0.01,Multiplicative: base × (1 + 0.01 × metric),24,0.7085381556786563,2.3208333333333333,5.125
log_a001,log_dampened,0.01,Log-dampened: base + 0.01 × log(1 + metric),24,0.7078316986481638,2.3166666666666664,5.083333333333333
add_a001,additive,0.01,Additive: base + 0.01 × metric,24,0.707731609293294,2.3208333333333333,5.083333333333333
add_a005,additive,0.05,Additive: base + 0.05 × metric,24,0.7048871823819098,2.308333333333333,5.083333333333333
mult_a0005,multiplicative,0.005,Multiplicative: base × (1 + 0.005 × metric),24,0.6698575538431668,2.2041666666666666,4.708333333333333
baseline_b000,multiplicative,0.0,Recall-only baseline (no BM25 scoring),24,0.5764841364551578,1.8916666666666666,4.083333333333333
